label,comX,comY,comZ,SA,vol,sphericity,maxFeret,minFeret,aspectRatio
412.0,2.5760000000000004e-06,8.400000000000001e-07,1.44e-06,6.610572026727898e-13,2.0111039999999998e-20,0.5410051958987425,7.664126207729227e-07,3.350881091354655e-07,0.3097702971548697
413.0,3.0160000000000004e-06,5.8e-06,2.7e-06,5.039800326845427e-13,2.0174399999999998e-20,0.7111117898152165,5.475587276047849e-07,2.904480698557714e-07,0.3950790972739669
414.0,6.856e-06,4.744e-06,7.47e-06,5.905936006436355e-13,2.024928e-20,0.6083242248687382,8.285475999186443e-07,2.6046412705815885e-07,0.257234178514561
415.0,1.24e-06,4.912e-06,8.1e-07,5.500396873491308e-13,2.097504e-20,0.668690720403515,6.18442041808301e-07,2.887306565489756e-07,0.3355851367707791
416.0,3.96e-06,2.032e-06,5.94e-06,5.058489713116997e-13,2.1041279999999998e-20,0.7286372286112142,5.540692169522851e-07,3.160060267829011e-07,0.4310993411059436
417.0,8.44e-06,3.5680000000000004e-06,4.905e-06,6.566951229751905e-13,2.1058559999999998e-20,0.5615728639346407,7.465599160137135e-07,3.758955811538212e-07,0.3612114223928539
418.0,1.64e-06,9.44e-07,1.215e-06,5.079461506540017e-13,2.11824e-20,0.7288696962580765,6.283121593352658e-07,3.180362337423168e-07,0.5501570922706487
419.0,6.12e-06,7.56e-06,4.365e-06,6.118313616346899e-13,2.1395520000000004e-20,0.6091640807663878,9.376579943933414e-07,2.521271233149244e-07,0.1575638165493997
420.0,5.032e-06,4.968e-06,2.34e-06,6.238037666723169e-13,2.142432e-20,0.5980086913597416,7.668739039457874e-07,3.00308122625867e-07,0.1985517160594094
421.0,2.408e-06,8.000000000000001e-07,3.3300000000000003e-06,5.803001179046265e-13,2.167488e-20,0.6478422486338347,6.996151760671827e-07,3.19769196434138e-07,0.3533875658096544
422.0,4.664e-06,2.2320000000000004e-06,3.105e-06,6.724397117849825e-13,2.1772800000000003e-20,0.5607556094065081,7.247804699693814e-07,2.664920087723884e-07,0.2046807628118958
423.0,1.0224e-05,8.48e-06,2.52e-06,8.406614582806505e-13,2.2259519999999998e-20,0.4552048189938634,7.77063711099711e-07,3.285977711016215e-07,0.4454450896298345
424.0,2.4400000000000004e-06,8.736e-06,8.370000000000001e-06,5.479876862967098e-13,2.227104e-20,0.6985652695831586,5.841102286221358e-07,3.149786920836173e-07,0.4714836386844714
