synLabel,vesLabel,OG_Ves_X,OG_Ves_Y,OG_Ves_Z,Ves_X,Ves_Y,Ves_Z,Syn_X,Syn_Y,Syn_Z,VectorAngle,Intersect,IOU,IOS
62,188,1.7545107766636647e-05,7.209861905721482e-06,8.54811332828831e-06,1.7521630979899783e-05,7.250707085404429e-06,8.530644208804006e-06,1.7553090401634108e-05,7.219013241410721e-06,8.425397027167492e-06,24.030595850848876,58025,0.40294579241954975,0.41835498709426233
63,793,1.0522077900532167e-05,1.552317826281069e-05,6.807418230891926e-06,1.0836308319994714e-05,1.5830253687454388e-05,6.627810080317431e-06,1.0548167665547226e-05,1.554643222334562e-05,6.104224439695827e-06,40.52665454083022,114,0.0021477015825169554,0.007971470526536606
64,1132,1.1019702469639014e-05,9.158919965557288e-06,3.5786954413197236e-06,1.1129563517897623e-05,9.539088750898372e-06,3.4768385148709058e-06,1.1075715065089753e-05,9.148125627689296e-06,3.021513634848816e-06,40.94883082969171,3106,0.041609173844896645,0.4996782496782497
65,820,1.553191486891592e-05,6.443037818826269e-06,7.800386356393574e-06,1.5467272078240057e-05,6.406300144590205e-06,7.807559995853808e-06,1.5538164916506503e-05,6.436726152969641e-06,7.651757869098219e-06,25.27631217290033,58037,0.36113548258632167,0.9934100167745028
66,1250,1.0791990007419372e-05,1.337604862783337e-05,3.8631127381449915e-06,1.051141953212209e-05,1.4229919543140568e-05,2.5132839027719456e-06,1.0646994724083925e-05,1.3248081813799217e-05,2.7808233653559e-06,99.36003430248088,2298,0.026710991259066393,0.850796001480933
67,1146,1.3729932106798515e-05,1.3738142115471419e-05,9.561295428284211e-06,1.3609077541332226e-05,1.3815585134580033e-05,9.520475032331888e-06,1.381832817060058e-05,1.3727051282330649e-05,9.179058451991295e-06,21.28472465578382,10431,0.0845032769222045,1.0
68,1072,1.655612140893936e-05,9.342959401692497e-06,8.950371920946054e-06,1.6554644389543682e-05,9.331260571343591e-06,8.962135780166136e-06,1.6504362065461464e-05,9.355301699542906e-06,8.15859038993949e-06,0.8345885638485456,6714,0.2148411250839973,0.9102494577006508
69,630,1.1813725450338097e-05,8.786902981228195e-06,8.550960046704859e-06,1.1814463960035937e-05,8.853454801283078e-06,8.535419055988314e-06,1.1758964319596998e-05,8.778402388998074e-06,8.355862519238144e-06,19.421639313891042,39071,0.3644818836523751,0.6829639211299119
70,1006,8.388333299080841e-06,1.2724075531878043e-05,2.542735046517919e-06,8.448087100987323e-06,1.2776893527188804e-05,2.570194965301198e-06,8.390496986976359e-06,1.2733747098536696e-05,2.325293849025911e-06,18.433534953691705,21449,0.1921419677329774,0.9704551624287395
71,87,1.650270314712543e-05,7.277572649400099e-06,7.316668416024186e-06,1.651374259381555e-05,7.498201739508659e-06,7.107428473318578e-06,1.6497760043421295e-05,7.2928619374579284e-06,7.115998641893384e-06,96.614697786417,1951,0.014523933596367156,0.018649511537652704
